timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2024/12/14 22:45:04.073, Tesla V100-SXM2-32GB, 96 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:05.073, Tesla V100-SXM2-32GB, 96 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:06.074, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:07.075, Tesla V100-SXM2-32GB, 95 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:08.077, Tesla V100-SXM2-32GB, 97 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:09.077, Tesla V100-SXM2-32GB, 97 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:10.078, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:11.078, Tesla V100-SXM2-32GB, 97 %, 53 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:12.079, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:13.079, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:14.080, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:15.080, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:16.081, Tesla V100-SXM2-32GB, 91 %, 19 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:17.081, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:18.082, Tesla V100-SXM2-32GB, 96 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:19.082, Tesla V100-SXM2-32GB, 97 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:20.082, Tesla V100-SXM2-32GB, 97 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:21.083, Tesla V100-SXM2-32GB, 97 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:22.083, Tesla V100-SXM2-32GB, 97 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:23.084, Tesla V100-SXM2-32GB, 96 %, 77 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:24.086, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:25.086, Tesla V100-SXM2-32GB, 97 %, 58 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:26.086, Tesla V100-SXM2-32GB, 97 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:27.087, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:28.087, Tesla V100-SXM2-32GB, 97 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:29.090, Tesla V100-SXM2-32GB, 97 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:30.091, Tesla V100-SXM2-32GB, 96 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:31.091, Tesla V100-SXM2-32GB, 97 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:32.091, Tesla V100-SXM2-32GB, 97 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:33.092, Tesla V100-SXM2-32GB, 24 %, 6 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:34.094, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:35.095, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:36.095, Tesla V100-SXM2-32GB, 97 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:37.096, Tesla V100-SXM2-32GB, 97 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:38.096, Tesla V100-SXM2-32GB, 97 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:39.097, Tesla V100-SXM2-32GB, 96 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:40.097, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:41.098, Tesla V100-SXM2-32GB, 97 %, 28 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:42.098, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:43.099, Tesla V100-SXM2-32GB, 94 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:44.099, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:45.100, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:46.100, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:47.101, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:48.101, Tesla V100-SXM2-32GB, 78 %, 18 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:49.102, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:50.103, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:51.103, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:52.105, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:53.105, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:54.106, Tesla V100-SXM2-32GB, 97 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:55.107, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:56.107, Tesla V100-SXM2-32GB, 96 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:57.108, Tesla V100-SXM2-32GB, 96 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:58.109, Tesla V100-SXM2-32GB, 96 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:45:59.110, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:00.111, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:01.111, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:02.111, Tesla V100-SXM2-32GB, 96 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:03.112, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:04.112, Tesla V100-SXM2-32GB, 93 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:05.113, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:06.113, Tesla V100-SXM2-32GB, 93 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:07.114, Tesla V100-SXM2-32GB, 96 %, 85 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:08.114, Tesla V100-SXM2-32GB, 96 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:09.114, Tesla V100-SXM2-32GB, 96 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:10.116, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:11.116, Tesla V100-SXM2-32GB, 97 %, 69 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:12.116, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:13.117, Tesla V100-SXM2-32GB, 97 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:14.117, Tesla V100-SXM2-32GB, 97 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:15.118, Tesla V100-SXM2-32GB, 96 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:16.119, Tesla V100-SXM2-32GB, 97 %, 79 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:17.119, Tesla V100-SXM2-32GB, 97 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:18.120, Tesla V100-SXM2-32GB, 97 %, 78 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:19.120, Tesla V100-SXM2-32GB, 100 %, 23 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:20.122, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:21.122, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:22.123, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:23.123, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:24.124, Tesla V100-SXM2-32GB, 97 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:25.124, Tesla V100-SXM2-32GB, 97 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:26.125, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:27.125, Tesla V100-SXM2-32GB, 90 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:28.125, Tesla V100-SXM2-32GB, 91 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:29.126, Tesla V100-SXM2-32GB, 91 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:30.126, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:31.127, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:32.128, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:33.129, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:34.129, Tesla V100-SXM2-32GB, 96 %, 85 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:35.130, Tesla V100-SXM2-32GB, 96 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:36.130, Tesla V100-SXM2-32GB, 96 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:37.130, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:38.131, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:39.131, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:40.133, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:41.133, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:42.133, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:43.134, Tesla V100-SXM2-32GB, 96 %, 85 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:44.134, Tesla V100-SXM2-32GB, 95 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:45.136, Tesla V100-SXM2-32GB, 96 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:46.137, Tesla V100-SXM2-32GB, 95 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:47.137, Tesla V100-SXM2-32GB, 7 %, 6 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:48.138, Tesla V100-SXM2-32GB, 92 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:49.139, Tesla V100-SXM2-32GB, 92 %, 83 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:50.140, Tesla V100-SXM2-32GB, 95 %, 84 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:51.140, Tesla V100-SXM2-32GB, 93 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:52.140, Tesla V100-SXM2-32GB, 96 %, 85 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:53.142, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:54.143, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:55.143, Tesla V100-SXM2-32GB, 96 %, 82 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:56.144, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:57.144, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:58.145, Tesla V100-SXM2-32GB, 96 %, 81 %, 32768 MiB, 13270 MiB
2024/12/14 22:46:59.145, Tesla V100-SXM2-32GB, 97 %, 80 %, 32768 MiB, 13270 MiB
2024/12/14 22:47:00.146, Tesla V100-SXM2-32GB, 97 %, 80 %, 32768 MiB, 13270 MiB
